plot,stems,FIRE,MPB,UNK,OPF,LIVE,DC1,DC2,DC3,DC4,full,live,none,partial,DBH_mean,scorch_mean,height_mean,cones_mean,Plot_ID,fire_severity,UTM_E,UTM_N,Fire_id,Burndate,Terrain_SD,temp,rh,ws,precip,ffmc,dmc,dc,isi,bui,fwi,PFM,GV,char,soil,litter,rock,dwood,cwd,other,deadveg,duff_depth,subplot,quadplot,elevation,aspect,slope
57,18,44.44444444,16.66666667,0,38.88888889,0,44.44444444,0,55.55555556,0,5.555555556,38.88888889,55.55555556,0,15.77777778,97.16666667,8.863636364,35,TL0809H2,high,692392,5906843,R10252_2013,259,0.0555573,12.5,96,25,10.8,28,24,491,0,44,0,55.55555556,38.75,39.25,10.25,1,8.75,2,0,0,0,0.4125,0.75,13,954,155,5
58,18,38.88888889,0,0,61.11111111,0,22.22222222,27.77777778,50,0,22.22222222,27.77777778,50,0,9.888888889,95,9.1875,34.72222222,TL0810H1,high,690964,5906302,R10252_2013,257,-0.0222168,21.6,49,5,0,90,46,536,5.5,75,18,61.11111111,11.5,41.25,23.25,3.75,15.5,4.75,0,0,0,0.8,0.666666667,19,964,180,8
59,31,22.58064516,38.70967742,6.451612903,32.25806452,0,32.25806452,58.06451613,9.677419355,0,19.35483871,61.29032258,19.35483871,0,12.80645161,15.56451613,1.561111111,45.06451613,TL0810L1,low,691033,5906111,R10252_2013,257,-0.111104,21.6,49,5,0,90,46,536,5.5,75,18,70.96774194,41.25,17.75,1.25,36.5,3.25,0,0,0,0,1.2875,1,12.5,954,125,4
6,20,20,30,0,50,0,30,60,10,0,30,20,50,0,11.7,24.25,1.555,37.77777778,CEC0703M1,low,333922,5906030,R10070_2014,222,0.111115,23.3,41,10.1,0,87,75.6,460.5,4.6,107.2,19,80,52,18,1.25,23.75,0,0,0.5,0,0,1.125,0,NA,1028,264,5
60,20,45,20,0,35,0,40,25,35,0,45,20,35,0,11.35,61.95,4.875,33.5,TL0810M1,moderate,691200,5906288,R10252_2013,257,0.111104,21.6,49,5,0,90,46,536,5.5,75,18,55,21.25,11.25,5.25,44.25,18,0,0,0,0,1.1625,1,21.5,962,115,8
61,8,62.5,25,0,0,12.5,75,0,25,0,62.5,0,25,12.5,14,30.375,1.1,10.625,TL0811L1,low,693759,5907023,R10252_2013,259,-0.166656,12.5,96,25,10.8,28,24,491,0,44,0,25,45,13.25,0,33,2,0.5,0,0,6.25,1.4125,0,1.5,928,83,0
62,26,38.46153846,23.07692308,0,38.46153846,0,30.76923077,7.692307692,61.53846154,0,0,30.76923077,69.23076923,0,11.78846154,95,7.571428571,16.84615385,TL0811M1,moderate,693552,5907108,R10252_2013,259,-0.194443,12.5,96,25,10.8,28,24,491,0,44,0,61.53846154,25.75,46.5,12,1,5.5,9.25,0,0,0,0.6625,3,46,939,65,1
63,15,13.33333333,6.666666667,0,80,0,13.33333333,0,86.66666667,0,6.666666667,6.666666667,86.66666667,0,17.1,98.53333333,8.272727273,80,TL0811H1,high,693582,5907372,R10252_2013,259,-0.0888916,12.5,96,25,10.8,28,24,491,0,44,0,86.66666667,19,17.75,61,0,2.25,0,0,0,0,0.3125,0.666666667,8.5,970,140,0
7,6,0,83.33333333,0,16.66666667,0,0,0,100,0,0,0,100,0,22.41666667,100,12.5,0,CEC0705H1,high,334510,5904882,R10070_2014,214,0.0555573,27.2,27.7,2.4,0,94,67.5,405.2,8.4,95.3,27.4,100,45,51,3.75,0.25,0,0,0,0,0,1.175,1,NA,960,234,20
8,11,0,45.45454545,0,54.54545455,0,0,0,100,0,0,0,100,0,13.18181818,100,12.40909091,0,CEC0705H2,high,334391,5904692,R10070_2014,213,-0.0555573,27.3,21.2,1.8,0,93.9,62.6,397.3,8.1,89.8,25.9,100,45,50,2,0,0.5,2.5,0,0,0,0.975,1.5,NA,949,188,2
9,14,0,14.28571429,0,85.71428571,0,0,0,100,0,0,0,100,0,13.5,100,11.39285714,0,CEC0705H3,high,335119,5904973,R10070_2014,213,0.0666626,27.3,21.2,1.8,0,93.9,62.6,397.3,8.1,89.8,25.9,100,43.75,36.75,17.75,0,1.75,0,0,0,0,0.675,1.5,NA,985,146,2
