plot,stems,FIRE,MPB,UNK,OPF,LIVE,DC1,DC2,DC3,DC4,full,live,none,partial,DBH_mean,scorch_mean,height_mean,cones_mean,Plot_ID,vis_FE,UTM_E,UTM_N,Fire_id,Burndate,Terrain_SD,temp,rh,ws,precip,ffmc,dmc,dc,isi,bui,fwi,PFM,GV.sur,char.sur,soil.sur,litter.sur,rock.sur,dwood.sur,cwd.sur,other.sur,deadveg.sur,duff.dpth,seed.sub,seed.quad,elevation,aspect,slope
39,26,11.5,38.5,3.8,11.5,34.6,69.2,30.8,0.0,0.0,34.6,30.8,0.0,34.6,11.1,1.1,0.2,61.7,BA0722L1,low,319852,5911282,R10070_2014,219,0.06,17.4,37.3,7.2,0,91.3,87.2,440.9,7.4,116.7,27.6,50.0,42.5,18.5,2.5,36.25,0.25,0,0,0,0,0.7,1,4,892,340,0
4,12,0.0,75.0,0.0,25.0,0.0,0.0,100.0,0.0,0.0,41.7,58.3,0.0,0.0,16.4,13.5,2.5,107.2,CEC0702M1,moderate,334297,5905505,R10070_2014,214,-0.11,27.2,27.7,2.4,0,94,67.5,405.2,8.4,95.3,27.4,100.0,50,2.5,0,47.5,0,0,0,0,0,1.4,1.5,NA,1025,168,5
40,10,40.0,60.0,0.0,0.0,0.0,40.0,0.0,60.0,0.0,10.0,30.0,60.0,0.0,13.2,99.7,10.2,33.0,BA0722H1,high,319191,5911531,R10070_2014,219,0.11,17.4,37.3,7.2,0,91.3,87.2,440.9,7.4,116.7,27.6,60.0,9.25,75.25,3,7.25,3.75,0,0,0,0,1.0,6,96.5,889,0,0
41,9,0.0,44.4,0.0,55.6,0.0,0.0,33.3,55.6,11.1,11.1,44.4,44.4,0.0,18.3,68.3,8.2,43.3,BA0722H2,high,319267,5911285,R10070_2014,219,-0.18,17.4,37.3,7.2,0,91.3,87.2,440.9,7.4,116.7,27.6,100.0,15.25,25,55,2.25,1,0,0,0,0,0.0,0,1.5,905,191,5
42,27,7.4,25.9,0.0,25.9,40.7,74.1,25.9,0.0,0.0,22.2,37.0,0.0,40.7,11.7,2.7,0.6,106.2,BA0728L1,low,319437,5910300,R10070_2014,217,-0.09,25,31.6,12.4,0,93.4,81.3,428.4,12.9,110.3,39,51.9,16.5,24.5,0,59,0,0,0,0,0,1.2,3.5,34,914,270,3
43,18,27.8,55.6,0.0,5.6,11.1,61.1,38.9,0.0,0.0,55.6,33.3,0.0,11.1,15.8,4.2,0.9,97.7,BA0729L1,moderate,319915,5910878,R10070_2014,218,-0.04,19.1,32.8,13.7,0,92.3,84.5,434.8,11.9,113.7,37.4,61.1,30,19,0,51,0,0,0,0,0,1.3,0,8.5,905,315,0
44,18,0.0,72.2,0.0,22.2,5.6,16.7,77.8,5.6,0.0,16.7,44.4,33.3,5.6,19.4,16.9,0.6,92.9,BA0730L1,low,320082,5910919,R10070_2014,218,-0.06,19.1,32.8,13.7,0,92.3,84.5,434.8,11.9,113.7,37.4,94.4,35,36.25,10,18.25,0.5,0,0,0,0,2.1,0.25,4,907,272,0
45,10,0.0,80.0,0.0,20.0,0.0,0.0,70.0,30.0,0.0,0.0,60.0,40.0,0.0,17.6,46.3,4.1,2.4,BA0730M1,moderate,320184,5911101,R10070_2014,218,-0.04,19.1,32.8,13.7,0,92.3,84.5,434.8,11.9,113.7,37.4,100.0,25,37.5,29.5,8,0,0,0,0,0,0.7,1.5,12,894,348,0
46,9,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,66.7,22.2,11.1,0.0,22.2,17.9,1.8,155.1,BA0730L2,low,320054,5911334,R10070_2014,218,0.00,19.1,32.8,13.7,0,92.3,84.5,434.8,11.9,113.7,37.4,100.0,36.25,41.75,0.25,21.5,0.25,0,0,0,0,1.7,0.5,11.5,900,4,0
47,14,35.7,57.1,7.1,21.4,7.1,28.6,28.6,42.9,0.0,28.6,42.9,28.6,0.0,12.8,24.8,0.8,31.2,BA0730L3,low,319889,5911057,R10070_2014,219,0.14,17.4,37.3,7.2,0,91.3,87.2,440.9,7.4,116.7,27.6,78.6,18.75,39.25,5,35.5,1.5,0,0,0,0,0.6,2,16.5,881,45,0
