plot,ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
59,site59,region59,53.209107,-125.547127,954,2.7,13.4,-8.2,21.6,534,204,23.8,65.8,969,966,5558,14,139,171,248,78,223,-40.5,32.6,531,273,11.2,58
60,site60,region60,53.208552,-125.550346,962,2.7,13.4,-8.2,21.6,534,204,23.8,65.6,970,960,5566,14,139,171,248,77,224,-40.5,32.6,530,272,11.2,58
61,site61,region61,53.223473,-125.515518,928,2.8,13.6,-8.3,21.8,529,204,24.2,66.7,970,984,5539,15,141,170,249,79,219,-40.4,32.7,532,275,11,58
62,site62,region62,53.207347,-125.556221,939,2.8,13.5,-8.2,21.7,532,202,24,66.9,969,976,5547,14,140,170,249,78,222,-40.3,32.7,532,276,11.2,58
63,site63,region63,53.206586,-125.55188,970,2.7,13.4,-8.1,21.5,533,204,23.8,65.6,972,955,5574,14,138,171,248,76,224,-40.6,32.6,530,273,11.2,58
64,site64,region64,53.207611,-125.545181,1045,2.5,13,-8.1,21.2,536,207,23.3,63.1,983,905,5643,12,133,174,245,72,229,-41,32.3,526,266,11.2,57
65,site65,region65,53.207152,-125.549362,1050,2.5,13,-8.1,21.1,536,207,23.3,62.9,983,902,5648,12,133,174,245,71,230,-41,32.3,525,265,11.2,57
66,site66,region66,53.206691,-125.547005,1023,2.5,13.1,-8.1,21.2,535,206,23.4,63.8,979,920,5622,12,135,173,246,73,228,-40.8,32.4,527,268,11.2,57
67,site67,region67,53.278832,-126.107193,1044,2.5,13.2,-8.2,21.4,605,193,20.7,68.2,994,930,5632,13,145,167,255,88,280,-39.2,31.9,501,248,11.4,62
68,site68,region68,53.277665,-126.110214,1050,2.5,13.1,-8.2,21.3,608,194,20.6,67.6,996,926,5639,13,145,168,255,88,282,-39.2,31.9,500,246,11.5,62
69,site69,region69,53.275413,-126.099686,1057,2.5,13.1,-8.2,21.3,609,192,20.5,68.1,996,923,5642,12,145,168,255,88,284,-39.2,31.8,499,246,11.5,62
70,site70,region70,53.276069,-126.098213,978,2.7,13.4,-8.2,21.6,564,186,22.5,72.1,974,964,5568,14,146,167,255,88,252,-39.3,32.3,511,268,11.2,61
71,site71,region71,53.276222,-126.104141,987,2.7,13.4,-8.2,21.5,571,187,22.2,71.4,977,959,5577,14,146,167,255,88,256,-39.3,32.3,509,264,11.2,61
72,site72,region72,53.275861,-126.114433,928,2.8,13.6,-8.2,21.8,542,183,23.7,74.3,961,990,5521,15,147,166,255,88,235,-39.4,32.7,518,280,11.1,60
73,site73,region73,53.27152,-126.136147,914,2.9,13.6,-8.2,21.9,532,180,24.2,75.8,960,998,5509,16,147,166,254,88,230,-39.4,32.8,520,285,11,60
