plot.mpb,plot,date,plot.id,tree.id,species,live.dead,j.gal,exit.hole,dbh,scorch.height,bole.scorch,cl.deep.char,killed.by,mortality,canopy.str,cone.op.cl,cone.ct,snag.cwd,preb.ld,preb.sd,pref.ld,pref.sd,postf.ld,postf.sd
LL12,12,7/6/2016,CEC0706L1,NW4,pico,D,O,Y,15,0.1,0.5,1,FIRE,FIRE,full,closed,300,snag,live,stand,live,stand,dead,stand
LL12,12,7/6/2016,CEC0706L1,SW7,pico,D,O,Y,14,1,4,1,FIRE,FIRE,full,closed,100,snag,live,stand,live,stand,dead,stand
LL12,12,7/6/2016,CEC0706L1,SW6,pico,D,O,Y,13,0.5,2,1,FIRE,FIRE,full,closed,100,snag,live,stand,live,stand,dead,stand
LL12,12,7/6/2016,CEC0706L1,SW5,pico,D,O,Y,12,2,10,2,FIRE,FIRE,partial,closed,50,snag,live,stand,live,stand,dead,stand
LL12,12,7/6/2016,CEC0706L1,NW5,pico,D,O,Y,10.5,0.1,0.5,1,FIRE,FIRE,full,both,50,snag,live,stand,live,stand,dead,stand
LL12,12,7/6/2016,CEC0706L1,SW1,pico,D,O,Y,10.5,1.5,5,1,FIRE,FIRE,full,none,0,snag,live,stand,live,stand,dead,stand
LL12,12,7/6/2016,CEC0706L1,NW2,pico,D,N,N,9.5,0.1,0.5,1,FIRE,FIRE,full,none,0,snag,live,stand,live,stand,dead,stand
LL12,12,7/6/2016,CEC0706L1,SW4,pico,D,O,Y,9,2,10,1,FIRE,FIRE,full,closed,15,snag,live,stand,live,stand,dead,stand
ML13,13,7/6/2016,CEC0706L2,NEA,pico,D,O,Y,12,1,2,1,FIRE,FIRE,full,open,2,snag,live,stand,live,stand,dead,stand
ML13,13,7/6/2016,CEC0706L2,SE4 ,pico,D,O,Y,11,1,10,1,FIRE,FIRE,full,closed,45,snag,live,stand,live,stand,dead,stand
ML13,13,7/6/2016,CEC0706L2,NE4,pico,D,N,Y,8.5,2,12,1,FIRE,FIRE,full,closed,100,snag,live,stand,live,stand,dead,stand
ML13,13,7/6/2016,CEC0706L2,SE1,pico,D,O,Y,8,0.1,1,1,FIRE,FIRE,full,closed,100,snag,live,stand,live,stand,dead,stand
ML14,14,7/6/2016,CEC0706L3,NW1,pico,D,O,Y,20.5,1,7,1,FIRE,FIRE,full,both,100,snag,live,stand,live,stand,dead,stand
ML14,14,7/6/2016,CEC0706L3,NW4,pico,D,O,Y,13.5,2,10,1,FIRE,FIRE,full,open,20,snag,live,stand,live,stand,dead,stand
MH16,16,7/7/2016,EF0707H2,SW2,pico,D,N,Y,18.5,10,75,1,FIRE,FIRE,full,open,350,snag,live,stand,live,stand,dead,stand
MH16,16,7/7/2016,EF0707H2,,pigl,D,,,18,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
MH16,16,7/7/2016,EF0707H2,,pigl,D,,,18.5,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
MH16,16,7/7/2016,EF0707H2,,pigl,D,,,18,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
MM17,17,7/7/2016,EF0707H1,SW1,pico,D,N,N,12.5,4,30,1,FIRE,FIRE,full,open,300,snag,live,stand,live,stand,dead,stand
MM17,17,7/7/2016,EF0707H1,SW2,pico,D,N,N,11.5,4,30,1,FIRE,FIRE,full,open,2,snag,live,stand,live,stand,dead,stand
MM17,17,7/7/2016,EF0707H1,SE2,pico,D,N,Y,9.5,3.5,40,1,FIRE,FIRE,partial,open,200,snag,live,stand,live,stand,dead,stand
MM17,17,7/7/2016,EF0707H1,,pigl,D,,,12,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
HL18,18,7/9/2016,CEC0709L1,,pigl,D,,,16.5,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
HL18,18,7/9/2016,CEC0709L1,,pigl,D,,,16,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
MM19,19,7/9/2016,CEC0709M1,SEA,pico,D,O,Y,20,2,10,1,FIRE,FIRE,full,open,400,snag,live,stand,live,stand,dead,stand
MM19,19,7/9/2016,CEC0709M1,NE3,pico,D,O,Y,17,1,3,1,FIRE,FIRE,full,open,140,snag,live,stand,live,stand,dead,stand
MM19,19,7/9/2016,CEC0709M1,NW4,pico,D,N,N,14,0.5,3,1,FIRE,FIRE,full,closed,200,snag,live,stand,live,stand,dead,stand
LH21,21,7/10/2016,EF0710H2,SE2,pico,D,N,N,21.5,11,100,3,FIRE,FIRE,none,none,0,snag,live,stand,live,stand,dead,stand
LH21,21,7/10/2016,EF0710H2,NE3,pico,D,N,N,14.5,9.5,85,1,FIRE,FIRE,partial,open,200,snag,live,stand,live,stand,dead,stand
LH21,21,7/10/2016,EF0710H2,SE1,pico,D,N,N,14,10,100,3,FIRE,FIRE,none,none,0,snag,live,stand,live,stand,dead,stand
LH21,21,7/10/2016,EF0710H2,NE4,pico,D,N,Y,14,13,100,3,FIRE,FIRE,none,none,0,snag,live,stand,live,stand,dead,stand
LH22,22,7/10/2016,EF0710H1,SW3,pico,D,N,N,13.5,12,100,1,FIRE,FIRE,full,closed,500,snag,live,stand,live,stand,dead,stand
LH22,22,7/10/2016,EF0710H1,NW5,pico,D,N,N,10.5,12,100,1,FIRE,FIRE,full,closed,50,snag,live,stand,live,stand,dead,stand
LH22,22,7/11/2016,EF0710H2,,pigl,D,,,11,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
LH22,22,7/11/2016,EF0710H2,,pigl,D,,,11.5,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
LH22,22,7/11/2016,EF0710H2,,pigl,D,,,11.5,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
ML23,23,7/11/2016,EF0711L1,,pigl,D,,,17,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
